# Converted from gridded data
   l    m 	C	Standard_Deviation
  22   14  -0.00223661   0.00000000
  22   15   0.02441816   0.00000000
  22   16   0.00673362   0.00000000
  22   17   0.00126280   0.00000000
  22   18   0.00586501   0.00000000
  22   19   0.00765055   0.00000000
  22   20  -0.00404886   0.00000000
  22   21  -0.00667369   0.00000000
  22   22  -0.01433440   0.00000000
  23  -23  -0.00634504   0.00000000
  23  -22  -0.00107561   0.00000000
  23  -21  -0.00398249   0.00000000
  23  -20   0.01589482   0.00000000
  23  -19   0.00489072   0.00000000
  23  -18  -0.00730059   0.00000000
  23  -17  -0.01112214   0.00000000
  23  -16   0.00853196   0.00000000
  23  -15  -0.00792240   0.00000000
  23  -14   0.00235038   0.00000000
  23  -13   0.00220718   0.00000000
  23  -12  -0.00255290   0.00000000
  23  -11   0.02462821   0.00000000
  23  -10  -0.00392580   0.00000000
  23   -9  -0.00036359   0.00000000
  23   -8   0.00488022   0.00000000
  23   -7   0.00859687   0.00000000
  23   -6   0.00466478   0.00000000
  23   -5  -0.00492773   0.00000000
  23   -4  -0.00157237   0.00000000
  23   -3  -0.00127064   0.00000000
  23   -2  -0.01009111   0.00000000
  23   -1   0.00871203   0.00000000
  23    0  -0.01581382   0.00000000
  23    1  -0.00436594   0.00000000
  23    2  -0.00680901   0.00000000
  23    3  -0.00944448   0.00000000
  23    4  -0.00197485   0.00000000
  23    5  -0.00052474   0.00000000
  23    6  -0.01001355   0.00000000
  23    7  -0.00269678   0.00000000
  23    8   0.00388920   0.00000000
  23    9   0.00743265   0.00000000
  23   10   0.01031382   0.00000000
  23   11   0.00124186   0.00000000
  23   12  -0.00080629   0.00000000
  23   13  -0.00803773   0.00000000
  23   14   0.00850854   0.00000000
  23   15   0.00693306   0.00000000
  23   16   0.00925493   0.00000000
  23   17  -0.00519710   0.00000000
  23   18  -0.00635237   0.00000000
  23   19   0.00766020   0.00000000
  23   20  -0.00317916   0.00000000
  23   21   0.00020525   0.00000000
  23   22  -0.01204388   0.00000000
  23   23  -0.00426601   0.00000000
  24  -24  -0.00723308   0.00000000
  24  -23   0.00260007   0.00000000
  24  -22  -0.00435377   0.00000000
  24  -21   0.00082660   0.00000000
  24  -20   0.01027758   0.00000000
  24  -19  -0.00287356   0.00000000
  24  -18  -0.00619664   0.00000000
  24  -17  -0.00211232   0.00000000
  24  -16   0.00380856   0.00000000
  24  -15  -0.00188517   0.00000000
  24  -14   0.00884762   0.00000000
  24  -13  -0.00702363   0.00000000
  24  -12  -0.00373161   0.00000000
  24  -11   0.00259078   0.00000000
  24  -10   0.00297725   0.00000000
  24   -9   0.00081339   0.00000000
  24   -8  -0.00082351   0.00000000
  24   -7  -0.00484390   0.00000000
  24   -6   0.00006882   0.00000000
  24   -5  -0.00786116   0.00000000
  24   -4  -0.00313451   0.00000000
  24   -3  -0.00023095   0.00000000
  24   -2  -0.00128463   0.00000000
  24   -1   0.00637968   0.00000000
  24    0   0.00030570   0.00000000
  24    1  -0.00500914   0.00000000
  24    2   0.00909180   0.00000000
  24    3   0.00169351   0.00000000
  24    4   0.01535841   0.00000000
  24    5   0.00542717   0.00000000
  24    6   0.00753146   0.00000000
  24    7  -0.00621553   0.00000000
  24    8   0.01308844   0.00000000
  24    9  -0.00506397   0.00000000
  24   10  -0.00167913   0.00000000
  24   11   0.01011266   0.00000000
  24   12   0.01063632   0.00000000
  24   13  -0.00480276   0.00000000
  24   14  -0.01355833   0.00000000
  24   15  -0.00456704   0.00000000
  24   16   0.00730299   0.00000000
  24   17  -0.00763259   0.00000000
  24   18  -0.01171542   0.00000000
  24   19  -0.00503372   0.00000000
  24   20  -0.01045875   0.00000000
  24   21   0.00210106   0.00000000
  24   22   0.00740919   0.00000000
  24   23  -0.00296343   0.00000000
  24   24   0.00490360   0.00000000
  25  -25  -0.00594316   0.00000000
  25  -24  -0.00418671   0.00000000
  25  -23  -0.00861035   0.00000000
  25  -22   0.00042464   0.00000000
  25  -21   0.00095582   0.00000000
  25  -20  -0.00160189   0.00000000
  25  -19  -0.00952125   0.00000000
  25  -18  -0.01143658   0.00000000
  25  -17   0.00107132   0.00000000
  25  -16  -0.00052252   0.00000000
  25  -15   0.01016322   0.00000000
  25  -14  -0.00733497   0.00000000
